,City,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Latitude,Longitude,Date
0,Punta Arenas,46.4,75,66,21.85,CL,-53.15,-70.9167,1611788886
1,Kamaishi,33.51,100,83,4.32,JP,39.2667,141.8833,1611788887
2,Chumikan,-13.14,100,88,8.72,RU,54.7183,135.315,1611788888
3,Henties Bay,68.0,6,85,6.13,NA,-22.116,14.2845,1611788889
4,Pangnirtung,-4.0,1,77,4.61,CA,66.1451,-65.7125,1611788890
5,Busselton,55.0,0,81,1.99,AU,-33.65,115.3333,1611788728
6,Pisco,75.2,0,60,10.36,PE,-13.7,-76.2167,1611788893
7,Cap Malheureux,77.0,2,81,1.99,MU,-19.9842,57.6142,1611788894
8,Albany,28.99,87,61,11.99,US,42.6001,-73.9662,1611788895
9,Marawi,71.01,97,85,5.99,PH,7.9986,124.2928,1611788896
10,Dalvik,15.8,90,86,5.75,IS,65.9702,-18.5286,1611788897
11,Saint Paul Harbor,33.8,90,75,4.61,US,57.79,-152.4072,1611788899
12,Poreč,35.01,70,80,8.05,HR,45.2258,13.5939,1611788900
13,Luena,62.08,100,97,2.26,AO,-11.7833,19.9167,1611788652
14,Belyy Yar,10.4,100,92,4.47,RU,53.6039,91.3903,1611788902
15,San Quintín,58.08,80,49,9.75,MX,30.4833,-115.95,1611788903
16,Ushuaia,39.2,40,93,19.57,AR,-54.8,-68.3,1611788904
17,Laas,28.99,0,86,5.73,IT,46.6166,10.7002,1611788905
18,George Town,78.8,20,94,4.59,MY,5.4112,100.3354,1611788907
19,Pargas,30.0,90,93,4.61,FI,60.3067,22.301,1611788908
20,Saint-Joseph,77.0,0,69,5.75,RE,-21.3667,55.6167,1611788868
21,Krasnosel'kup,-39.23,13,82,3.71,RU,65.7,82.4667,1611788910
22,Saint Anthony,14.0,90,57,3.44,US,45.0205,-93.218,1611788911
23,Avarua,87.8,75,58,17.27,CK,-21.2078,-159.775,1611788912
24,Vilyuysk,-47.43,98,77,2.51,RU,63.7553,121.6247,1611788913
25,Kapaa,78.8,75,78,18.41,US,22.0752,-159.319,1611788915
26,Hobart,59.0,75,47,8.05,AU,-42.8794,147.3294,1611788818
27,Fortuna,48.0,75,87,19.57,US,40.5982,-124.1573,1611788917
28,Asău,32.0,100,46,5.55,RO,46.4333,26.4,1611788918
29,Tiksi,-35.39,99,82,2.13,RU,71.6872,128.8694,1611788919
30,Moïssala,76.78,24,21,3.27,TD,8.3404,17.7663,1611788920
31,Port Blair,78.3,94,83,10.67,IN,11.6667,92.75,1611788921
32,Atuona,78.58,3,80,15.7,PF,-9.8,-139.0333,1611788922
33,Paramonga,72.43,87,78,6.69,PE,-10.6667,-77.8333,1611788896
34,Ancud,63.0,20,63,9.22,CL,-41.8697,-73.8203,1611788925
35,Hofn,26.11,13,87,16.31,IS,64.2539,-15.2082,1611788926
36,Kaitangata,53.01,78,73,11.99,NZ,-46.2817,169.8464,1611788927
37,Hithadhoo,81.41,98,78,15.88,MV,-0.6,73.0833,1611788928
38,Jamestown,23.0,90,93,5.97,US,42.097,-79.2353,1611788669
39,Cape Town,64.99,0,68,17.27,ZA,-33.9258,18.4232,1611788704
40,Hilo,77.0,90,69,6.91,US,19.7297,-155.09,1611788932
41,Faanui,81.19,1,74,13.65,PF,-16.4833,-151.75,1611788933
42,Portland,45.0,90,76,11.5,US,45.5234,-122.6762,1611788772
43,Coquimbo,64.4,0,72,13.8,CL,-29.9533,-71.3436,1611788670
44,Bluff,53.01,99,76,17.0,NZ,-46.6,168.3333,1611788936
45,Vaini,75.2,90,94,11.5,TO,-21.2,-175.2,1611788937
46,Kazygurt,30.2,0,74,4.61,KZ,41.7589,69.3864,1611788938
47,Puerto Ayora,84.2,20,70,21.85,EC,-0.7393,-90.3518,1611788940
48,Narsaq,37.4,75,35,27.63,GL,60.9167,-46.05,1611788941
49,Bud,27.0,100,94,14.94,US,39.447,-86.1758,1611788942
50,Rikitea,79.99,91,73,11.79,PF,-23.1203,-134.9692,1611788943
51,Maragogi,76.93,16,84,8.5,BR,-9.0122,-35.2225,1611788946
52,Adrar,67.01,0,23,9.62,MR,20.5022,-10.0711,1611788947
53,Hermanus,55.99,42,89,8.75,ZA,-34.4187,19.2345,1611788948
54,Caxito,80.6,40,83,5.75,AO,-8.5785,13.6643,1611788949
55,Navalmoral de la Mata,52.0,92,94,1.01,ES,39.8916,-5.5406,1611788950
56,Saint Petersburg,34.0,90,86,2.24,RU,59.8944,30.2642,1611788951
57,Laguna,50.0,90,81,21.85,US,38.421,-121.4238,1611788952
58,Nuevo Progreso,71.01,52,58,17.0,MX,23.1667,-97.95,1611788954
59,Buraidah,60.8,0,48,11.5,SA,26.326,43.975,1611788824
60,Qaanaaq,-15.59,0,64,9.73,GL,77.484,-69.3632,1611788956
61,Gouyave,78.8,20,78,12.66,GD,12.1646,-61.7296,1611788957
62,Kapoeta,79.72,0,30,9.1,SS,4.7717,33.5903,1611788958
63,Upernavik,-2.92,99,91,4.0,GL,72.7868,-56.1549,1611788959
64,Skibbereen,50.0,90,100,18.41,IE,51.55,-9.2667,1611788960
65,Honiara,82.22,99,79,9.98,SB,-9.4333,159.95,1611788962
66,Abbeville,46.99,100,44,7.76,FR,50.1,1.8333,1611788963
67,Nanortalik,24.55,100,94,7.78,GL,60.1432,-45.2371,1611788964
68,Mahébourg,73.4,20,88,8.05,MU,-20.4081,57.7,1611788965
69,Praia,71.6,0,73,16.11,CV,14.9215,-23.5087,1611788966
70,Matara,72.64,34,85,4.03,LK,5.9485,80.5353,1611788967
71,Świnoujście,34.0,100,97,16.15,PL,53.9105,14.2471,1611788968
72,Bengkulu,75.33,100,89,5.73,ID,-3.8004,102.2655,1611788969
73,Harboøre,32.0,75,69,7.58,DK,56.6175,8.1807,1611788971
74,Pacific Grove,51.01,90,87,6.91,US,36.6177,-121.9166,1611788787
75,Roald,32.0,90,93,11.5,NO,62.5833,6.1333,1611788973
76,Lebu,59.77,96,76,10.6,CL,-37.6167,-73.65,1611788974
77,Umaria,48.72,0,52,3.78,IN,23.5333,80.8333,1611788975
78,Mataura,53.01,97,76,17.0,NZ,-46.1927,168.8643,1611788976
79,Mayo,39.99,75,60,8.05,US,38.8876,-76.5119,1611788977
80,Makakilo City,82.4,20,51,17.27,US,21.3469,-158.0858,1611788979
81,Glossa,48.2,75,71,14.97,GR,35.4717,23.7763,1611788980
82,Berbera,72.55,12,74,3.38,SO,10.4396,45.0143,1611788838
83,Chui,70.56,43,85,10.13,UY,-33.6971,-53.4616,1611788982
84,Port Elizabeth,64.4,0,77,5.75,ZA,-33.918,25.5701,1611788800
85,Kinkala,69.51,100,95,3.22,CG,-4.3614,14.7644,1611788984
86,Ahipara,72.19,65,66,6.46,NZ,-35.1667,173.1667,1611788985
87,Port Alfred,62.01,59,91,1.99,ZA,-33.5906,26.891,1611788986
88,Nikolskoye,34.0,90,86,2.24,RU,59.7035,30.7861,1611788988
89,Longyearbyen,6.8,20,66,16.11,SJ,78.2186,15.6401,1611788897
90,Progreso,91.4,75,43,9.22,MX,21.2833,-89.6667,1611788990
91,Arraial do Cabo,77.0,0,78,16.11,BR,-22.9661,-42.0278,1611788892
92,Twentynine Palms,53.6,40,40,20.71,US,34.1356,-116.0542,1611788992
93,Basoko,72.82,100,91,4.09,CD,1.2391,23.616,1611788718
94,Karasburg,65.75,0,47,16.22,NA,-28.0167,18.75,1611788994
95,Barrow,-9.4,90,77,5.75,US,71.2906,-156.7887,1611788995
96,Lata,57.0,100,99,2.59,PT,40.1629,-8.3327,1611788997
97,Serebryanyy Bor,-40.38,100,78,4.94,RU,56.8,124.8,1611788998
98,Camacha,62.6,40,94,10.36,PT,33.0833,-16.3333,1611788999
99,New Norfolk,59.0,63,53,1.99,AU,-42.7826,147.0587,1611789000
100,Carnarvon,71.6,0,78,14.97,AU,-24.8667,113.6333,1611788825
101,Cabo San Lucas,72.0,20,60,5.75,MX,22.8909,-109.9124,1611788916
102,Port-Gentil,78.8,90,89,3.44,GA,-0.7193,8.7815,1611789003
103,Vao,78.42,100,85,19.77,NC,-22.6667,167.4833,1611789005
104,Souillac,73.4,20,88,8.05,MU,-20.5167,57.5167,1611789006
105,Bac Lieu,75.45,85,82,14.92,VN,9.285,105.7244,1611788725
106,Isangel,83.68,96,75,17.02,VU,-19.55,169.2667,1611789008
107,San Policarpo,79.88,100,83,13.87,PH,12.1791,125.5072,1611789009
108,Saint George,44.01,90,49,18.41,US,37.1041,-113.5841,1611788748
109,Ponta do Sol,59.0,86,77,1.99,PT,32.6667,-17.1,1611789011
110,Yellowknife,-9.0,75,70,3.44,CA,62.456,-114.3525,1611788947
111,Hokitika,58.06,42,63,20.51,NZ,-42.7167,170.9667,1611789014
112,Sicuani,58.77,51,46,9.08,PE,-14.2694,-71.2261,1611789015
113,Linqiong,41.0,52,100,1.36,CN,30.4159,103.4609,1611789016
114,Vrangel',19.35,100,87,9.84,RU,42.7297,133.0839,1611789017
115,Sørland,32.74,3,89,15.88,NO,67.667,12.6934,1611789018
116,São Paulo de Olivença,76.46,88,95,3.22,BR,-3.3783,-68.8725,1611789020
117,Nova Viçosa,76.87,100,79,7.45,BR,-17.8919,-39.3719,1611789021
118,Lorengau,83.61,88,78,10.02,PG,-2.0226,147.2712,1611789022
119,Amahai,86.0,100,77,5.01,ID,-3.3333,128.9167,1611789023
120,Walvis Bay,68.0,0,82,6.91,NA,-22.9575,14.5053,1611789024
121,Gamba,75.29,100,92,4.38,GA,-2.65,10.0,1611789025
122,Surgut,-23.8,40,76,8.95,RU,61.25,73.4167,1611789026
123,Hong Kong,63.0,0,84,1.99,HK,22.2855,114.1577,1611788990
124,Isla Vista,51.8,90,82,14.97,US,34.4133,-119.861,1611788736
125,Marabba,78.03,15,17,14.0,SD,12.35,32.1833,1611789030
126,Dikson,-20.58,100,86,9.75,RU,73.5069,80.5464,1611789031
127,Vestmannaeyjar,34.61,85,85,26.71,IS,63.4427,-20.2734,1611789032
128,Iqaluit,-5.01,1,71,23.02,CA,63.7506,-68.5145,1611788997
129,Port Lincoln,67.35,80,75,6.55,AU,-34.7333,135.8667,1611788873
130,Madang,75.92,100,93,4.25,PG,-5.2246,145.7966,1611789035
131,Chokurdakh,-14.53,100,89,12.75,RU,70.6333,147.9167,1611789036
132,Saldanha,62.6,0,67,14.97,ZA,-33.0117,17.9442,1611788972
133,São José da Coroa Grande,77.02,18,84,8.84,BR,-8.8978,-35.1478,1611789039
134,Tuatapere,53.01,100,76,17.0,NZ,-46.1333,167.6833,1611789040
135,Deming,46.4,1,34,11.5,US,32.2687,-107.7586,1611789041
136,Calamar,82.4,0,69,11.5,CO,10.2511,-74.9146,1611789042
137,Tudela,48.2,60,100,3.44,ES,42.0617,-1.6045,1611789043
138,Semīrom,33.62,91,69,2.77,IR,31.4167,51.5667,1611789044
139,LaBelle,77.0,1,65,5.75,US,26.7617,-81.4384,1611789046
140,Dickinson,64.99,1,22,16.11,US,29.4608,-95.0513,1611789047
141,Labuhan,77.56,100,86,9.75,ID,-6.8844,112.2051,1611789048
142,Yulara,77.0,98,65,12.66,AU,-25.2406,130.9889,1611789049
143,Aki,42.8,75,70,12.66,JP,33.5,133.9,1611789050
144,Kālikāpur,55.45,41,51,1.7,IN,22.6167,86.2833,1611789051
145,Laives,28.99,0,86,2.39,IT,46.4228,11.3348,1611789052
146,Chardara,35.04,0,84,4.47,KZ,41.2547,67.9692,1611789054
147,North Bend,46.4,90,76,16.55,US,43.4065,-124.2243,1611789055
148,Klaksvík,32.0,20,64,6.91,FO,62.2266,-6.589,1611788955
149,Kurtamysh,19.87,47,95,10.67,RU,54.9103,64.4319,1611789057
150,Sioux Lookout,-5.8,20,71,5.75,CA,50.1001,-91.917,1611789058
151,Ilulissat,6.8,0,51,3.44,GL,69.2167,-51.1,1611789059
152,Saskylakh,-41.6,93,80,1.5,RU,71.9167,114.0833,1611789062
153,Ribeira Grande,61.61,50,81,22.93,PT,38.5167,-28.7,1611789063
154,Middlebury (village),27.0,90,86,4.61,US,44.0153,-73.1673,1611788880
155,Vardø,21.2,90,86,23.02,NO,70.3705,31.1107,1611789066
156,Phalaborwa,77.0,92,88,3.44,ZA,-23.943,31.1411,1611789067
157,Bāglung,48.24,0,40,5.14,NP,28.2719,83.5898,1611789068
158,Cherskiy,-23.42,100,85,4.52,RU,68.75,161.3,1611789069
159,Castro Urdiales,57.99,75,100,1.14,ES,43.3829,-3.2204,1611789070
160,Nicoya,84.2,0,48,12.66,CR,10.1483,-85.452,1611788905
161,Provideniya,8.6,90,92,20.13,RU,64.3833,-173.3,1611788991
162,Burnie,60.01,46,51,11.99,AU,-41.0667,145.9167,1611789073
163,Lavrentiya,-0.2,98,88,17.13,RU,65.5833,-171.0,1611789074
164,Lagoa,60.49,58,83,28.03,PT,39.05,-27.9833,1611789076
165,Cidreira,73.94,100,92,7.4,BR,-30.1811,-50.2056,1611788996
166,Bar Harbor,33.01,90,74,5.75,US,44.3876,-68.2039,1611789078
167,Serik,50.0,40,37,8.05,TR,36.9169,31.0989,1611789079
168,Menongue,64.83,100,88,1.39,AO,-14.6585,17.691,1611789080
169,Yeppoon,80.6,75,65,12.66,AU,-23.1333,150.7333,1611789013
170,São Filipe,74.03,0,68,5.1,CV,14.8961,-24.4956,1611788990
171,Thompson,-14.8,20,84,4.61,CA,55.7435,-97.8558,1611789083
172,Butaritari,80.2,82,81,13.24,KI,3.0707,172.7902,1611789085
173,Esim,78.26,24,88,7.9,GH,4.8699,-2.2405,1611789086
174,Xingyi,45.72,17,97,3.58,CN,24.1877,102.817,1611789087
175,Koumac,83.64,95,65,7.96,NC,-20.5667,164.2833,1611789088
176,San Cristobal,82.4,40,61,6.91,VE,7.7669,-72.225,1611789089
177,Outram,77.0,75,94,6.91,MY,1.2829,103.8379,1611789090
178,Tura,55.54,0,69,3.27,IN,25.5198,90.2201,1611789091
179,Domoni,78.33,0,73,3.96,KM,-12.2569,44.5319,1611789092
180,Vostok,-13.97,55,89,4.72,RU,46.4856,135.8833,1611788962
181,Dicabisagan,72.75,93,82,6.91,PH,17.0818,122.4157,1611789095
182,Ketchikan,33.8,1,60,9.22,US,55.3422,-131.6461,1611788903
183,Severo-Kuril'sk,28.0,100,96,19.26,RU,50.6789,156.125,1611788963
184,Nuuk,23.0,3,49,15.01,GL,64.1835,-51.7216,1611789075
185,Castro,66.74,100,93,5.1,BR,-24.7911,-50.0119,1611789099
186,Lufkin,59.0,1,38,8.05,US,31.3382,-94.7291,1611788966
187,Kieta,84.92,100,73,9.1,PG,-6.2167,155.6333,1611789102
188,Chongwe,68.0,75,100,1.14,ZM,-15.3292,28.682,1611789103
189,Tallahassee,71.6,75,78,4.61,US,30.4383,-84.2807,1611788956
190,São João da Barra,77.97,0,81,17.18,BR,-21.6403,-41.0511,1611789105
191,Sahuaripa,67.87,96,24,5.32,MX,29.05,-109.2333,1611789106
192,Port Augusta,80.01,70,61,3.44,AU,-32.5,137.7667,1611789107
193,Esmeraldas,80.6,0,47,9.22,BR,-19.7625,-44.3139,1611789108
194,Le Port,73.4,0,78,5.75,RE,-20.9373,55.2919,1611789110
195,Redlands,61.0,40,29,4.61,US,34.0556,-117.1825,1611789111
196,Mahajanga,78.8,20,89,2.3,MG,-15.7167,46.3167,1611789112
197,Rodino,20.89,100,98,9.42,RU,52.5,80.25,1611789113
198,Fairbanks,0.0,40,77,1.21,US,64.8378,-147.7164,1611789033
199,Verāval,63.36,10,32,12.59,IN,20.9,70.3667,1611789115
200,Kasempa,62.15,100,94,2.86,ZM,-13.4584,25.8338,1611789116
201,Garoowe,62.51,10,79,8.99,SO,8.4054,48.4845,1611789118
202,Oodweyne,63.86,0,44,4.38,SO,9.4092,45.064,1611789119
203,Tessalit,65.39,0,22,8.23,ML,20.1986,1.0114,1611789120
204,Ushtobe,6.06,0,89,6.49,KZ,45.2514,77.9838,1611789121
205,Ürümqi,1.4,75,85,2.24,CN,43.801,87.6005,1611789122
206,Gayny,27.57,100,98,11.48,RU,60.3071,54.3241,1611789123
207,Roebourne,89.4,0,20,10.2,AU,-20.7833,117.1333,1611789125
208,Helsinki,30.0,75,100,6.91,FI,60.1695,24.9355,1611789126
209,Saint-Philippe,78.8,0,61,8.05,RE,-21.3585,55.7679,1611789127
210,Diffa,70.16,0,18,9.6,NE,13.3154,12.6113,1611789128
211,Ambulu,75.83,98,85,2.42,ID,-8.345,113.6058,1611789129
212,Ballina,80.6,40,65,11.5,AU,-28.8667,153.5667,1611789130
213,Bambous Virieux,77.0,20,88,8.05,MU,-20.3428,57.7575,1611789131
214,Otane,73.99,8,61,17.0,NZ,-39.8833,176.6333,1611789133
215,Airai,62.98,100,100,3.27,TL,-8.9266,125.4092,1611789134
216,Dimbokro,78.76,3,77,5.55,CI,6.6451,-4.7048,1611789135
217,Petropavlovsk-Kamchatskiy,6.8,10,61,8.95,RU,53.0452,158.6483,1611789136
218,Kahului,80.6,40,54,28.77,US,20.8947,-156.47,1611789137
219,Inhambane,79.0,14,88,7.87,MZ,-23.865,35.3833,1611789138
220,Mar del Plata,66.99,0,59,9.22,AR,-38.0023,-57.5575,1611789044
221,Ishim,20.73,98,97,10.49,RU,56.1128,69.4902,1611789141
222,Bako,66.58,0,37,3.13,ET,5.7833,36.5667,1611788861
223,Zhigansk,-48.71,57,75,5.77,RU,66.7697,123.3711,1611789143
224,Tasiilaq,21.2,90,45,18.41,GL,65.6145,-37.6368,1611789144
225,Saint-François,48.2,90,87,3.44,FR,46.4154,3.9054,1611789145
226,Kruisfontein,64.0,88,87,3.15,ZA,-34.0033,24.7314,1611789111
227,Williams Lake,26.6,90,80,9.22,CA,52.1415,-122.1445,1611788955
228,Sassandra,77.43,6,91,6.76,CI,4.95,-6.0833,1611789148
229,Paamiut,30.18,79,83,6.11,GL,61.994,-49.6678,1611789120
230,Ixtapa,71.6,1,78,9.22,MX,20.7,-105.2,1611789151
231,Dingle,75.65,100,90,7.05,PH,10.9995,122.6711,1611789152
232,Dorado,78.8,75,73,11.5,PR,18.4588,-66.2677,1611789153
233,Emerald,82.4,40,61,12.66,AU,-23.5333,148.1667,1611788861
234,Necochea,66.99,56,57,14.67,AR,-38.5473,-58.7368,1611789144
235,Abu Dhabi,64.4,0,88,8.66,AE,24.4667,54.3667,1611788996
236,Obala,71.6,40,88,3.44,CM,4.1667,11.5333,1611789157
237,Gryazovets,27.68,99,98,7.2,RU,58.88,40.2525,1611789158
238,Mossamedes,73.9,92,78,8.59,AO,-15.1961,12.1522,1611789023
239,Dhidhdhoo,80.96,65,67,10.02,MV,6.8833,73.1,1611789161
240,Traralgon,66.99,100,72,4.0,AU,-38.1833,146.5333,1611789162
241,Umm Kaddadah,70.14,46,19,15.35,SD,13.6017,26.6876,1611789163
242,Khatanga,-30.41,0,80,7.14,RU,71.9667,102.5,1611789164
243,Oxford,48.2,75,100,3.44,GB,51.7522,-1.256,1611789165
244,The Valley,78.8,40,73,11.5,AI,18.217,-63.0578,1611789166
245,Vahan,29.17,100,86,6.55,AM,40.5755,45.3977,1611789168
246,La Ronge,-0.4,45,71,8.05,CA,55.1001,-105.2842,1611788973
247,Geraldton,60.8,0,82,8.05,AU,-28.7667,114.6,1611789170
248,Half Moon Bay,51.01,90,87,8.05,US,37.4636,-122.4286,1611789171
249,Mīrābād,40.42,0,51,2.82,AF,30.4362,61.8383,1611789172
250,Kirkenes,21.2,75,68,13.8,NO,69.7271,30.0458,1611789173
251,Rosetta,59.0,40,55,13.8,EG,31.4044,30.4164,1611789174
252,Mehrān,42.8,0,49,6.91,IR,33.1222,46.1646,1611789175
253,Iranshahr,46.76,0,40,0.4,IR,27.2025,60.6848,1611789177
254,Naifaru,80.38,60,67,11.14,MV,5.4444,73.3657,1611789178
255,Konstantinovka,-24.14,52,84,4.18,RU,49.6167,127.9833,1611789179
256,Mongu,65.21,99,94,5.97,ZM,-15.2484,23.1274,1611789180
257,Mayya,-49.0,100,59,2.06,RU,61.7333,130.2811,1611789181
258,Sabha,45.5,0,54,4.68,LY,27.0377,14.4283,1611789182
259,Mt. Pleasant,55.99,90,100,9.95,US,32.7941,-79.8626,1611789183
260,Hutchinson,26.6,1,63,4.61,US,38.0608,-97.9298,1611788926
261,Salina Cruz,87.08,19,48,5.61,MX,16.1667,-95.2,1611789186
262,Pevek,-23.24,100,87,3.47,RU,69.7008,170.3133,1611788970
263,Lazarev,-0.18,100,93,13.49,RU,52.225,141.5131,1611789188
264,Constitución,60.91,74,68,20.76,CL,-35.3333,-72.4167,1611789118
265,Akdepe,23.0,0,86,6.91,TM,42.0551,59.3788,1611789190
266,Boissevain,0.0,75,77,5.75,CA,49.2306,-100.0559,1611789191
267,San Miguel de Tucumán,86.0,0,51,5.75,AR,-26.8241,-65.2226,1611789006
268,Arlit,63.84,0,25,7.09,NE,18.7369,7.3853,1611789161
269,Am Timan,73.51,68,20,6.44,TD,11.0297,20.2827,1611789195
270,Santiago,82.99,0,32,8.05,CL,-33.4569,-70.6483,1611789196
271,Byron Bay,80.6,40,65,11.5,AU,-28.65,153.6167,1611789197
272,East London,69.35,78,81,16.17,ZA,-33.0153,27.9116,1611789198
273,Orizona,70.61,95,86,3.2,BR,-17.0314,-48.2958,1611789199
274,Nagato,41.0,40,87,3.44,JP,34.3833,131.2,1611789033
275,Sibu,73.4,40,100,2.3,MY,2.3,111.8167,1611789201
276,Nome,17.6,90,62,10.36,US,64.5011,-165.4064,1611789071
277,Broome,26.01,90,86,8.05,US,42.2506,-75.833,1611789204
278,Tateyama,45.0,75,65,14.97,JP,34.9833,139.8667,1611789205
279,Iracoubo,76.82,53,82,11.07,GF,5.4802,-53.2011,1611789206
280,Philadelphia,35.6,90,55,13.8,US,39.9523,-75.1638,1611789139
281,Shādegān,57.2,100,72,4.32,IR,30.6497,48.6647,1611789122
